topic|partition|offset|table_name
test-spark-topic|5|341623263|
test-spark-topic|5|341623264|
test-spark-topic|5|341623265|
test-spark-topic|5|341623266|
test-spark-topic|5|341623267|
test-spark-topic|5|341623268|
test-spark-topic|5|341623269|
test-spark-topic|5|341623270|
test-spark-topic|5|341623271|
test-spark-topic|5|341623272|
test-spark-topic|5|341623273|
test-spark-topic|5|341623274|
test-spark-topic|5|341623275|
test-spark-topic|5|341623276|
test-spark-topic|5|341623277|
test-spark-topic|5|341623278|
test-spark-topic|5|341623279|
test-spark-topic|5|341623280|
test-spark-topic|5|341623281|
test-spark-topic|5|341623282|
test-spark-topic|5|341623283|
test-spark-topic|5|341623284|
test-spark-topic|5|341623285|
test-spark-topic|5|341623286|
test-spark-topic|5|341623287|
test-spark-topic|5|341623288|
test-spark-topic|5|341623289|
test-spark-topic|5|341623290|
test-spark-topic|5|341623291|
test-spark-topic|5|341623292|
test-spark-topic|5|341623293|
test-spark-topic|5|341623294|
test-spark-topic|5|341623295|
test-spark-topic|5|341623296|
test-spark-topic|5|341623297|
test-spark-topic|5|341623298|
test-spark-topic|5|341623299|
test-spark-topic|5|341623300|
test-spark-topic|5|341623301|
test-spark-topic|5|341623302|
test-spark-topic|5|341623303|
test-spark-topic|5|341623304|
test-spark-topic|5|341623305|
test-spark-topic|5|341623306|
test-spark-topic|5|341623307|
test-spark-topic|5|341623308|
test-spark-topic|5|341623309|
test-spark-topic|5|341623310|
test-spark-topic|5|341623311|
test-spark-topic|5|341623312|
test-spark-topic|5|341623313|
test-spark-topic|5|341623314|
test-spark-topic|5|341623315|
test-spark-topic|5|341623316|
test-spark-topic|5|341623317|
test-spark-topic|5|341623318|
test-spark-topic|5|341623319|
test-spark-topic|5|341623320|
test-spark-topic|5|341623321|
test-spark-topic|5|341623322|
test-spark-topic|5|341623323|
test-spark-topic|5|341623324|
test-spark-topic|5|341623325|
test-spark-topic|5|341623326|
test-spark-topic|5|341623327|
test-spark-topic|5|341623328|
test-spark-topic|5|341623329|
test-spark-topic|5|341623330|
test-spark-topic|5|341623331|
test-spark-topic|5|341623332|
test-spark-topic|5|341623333|
test-spark-topic|5|341623334|
test-spark-topic|5|341623335|
test-spark-topic|5|341623336|
test-spark-topic|5|341623337|
test-spark-topic|5|341623338|
test-spark-topic|5|341623339|
test-spark-topic|5|341623340|
test-spark-topic|5|341623341|
test-spark-topic|5|341623342|
test-spark-topic|5|341623343|
