topic|partition|offset|table_name
test-spark-topic|5|341623362|
test-spark-topic|5|341623363|
test-spark-topic|5|341623364|
test-spark-topic|5|341623365|
test-spark-topic|5|341623366|
test-spark-topic|5|341623367|
test-spark-topic|5|341623368|
test-spark-topic|5|341623369|
test-spark-topic|5|341623370|
test-spark-topic|5|341623371|
test-spark-topic|5|341623372|
test-spark-topic|5|341623373|
test-spark-topic|5|341623374|
test-spark-topic|5|341623375|
test-spark-topic|5|341623376|
test-spark-topic|5|341623377|
test-spark-topic|5|341623378|
test-spark-topic|5|341623379|
test-spark-topic|5|341623380|
test-spark-topic|5|341623381|
test-spark-topic|5|341623382|
test-spark-topic|5|341623383|
test-spark-topic|5|341623384|
test-spark-topic|5|341623385|
test-spark-topic|5|341623386|
test-spark-topic|5|341623387|
test-spark-topic|5|341623388|
test-spark-topic|5|341623389|
test-spark-topic|5|341623390|
test-spark-topic|5|341623391|
test-spark-topic|5|341623392|
test-spark-topic|5|341623393|
test-spark-topic|5|341623394|
test-spark-topic|5|341623395|
test-spark-topic|5|341623396|
test-spark-topic|5|341623397|
test-spark-topic|7|70658108|
test-spark-topic|7|70658109|
test-spark-topic|7|70658110|
test-spark-topic|7|70658111|
test-spark-topic|7|70658112|
test-spark-topic|7|70658113|
test-spark-topic|7|70658114|
test-spark-topic|7|70658115|
test-spark-topic|7|70658116|
test-spark-topic|7|70658117|
test-spark-topic|7|70658118|
test-spark-topic|7|70658119|
test-spark-topic|7|70658120|
test-spark-topic|7|70658121|
test-spark-topic|7|70658122|
test-spark-topic|7|70658123|
test-spark-topic|7|70658124|
test-spark-topic|7|70658125|
test-spark-topic|7|70658126|
test-spark-topic|7|70658127|
test-spark-topic|7|70658128|
test-spark-topic|7|70658129|
test-spark-topic|7|70658130|
test-spark-topic|7|70658131|
test-spark-topic|7|70658132|
test-spark-topic|7|70658133|
test-spark-topic|7|70658134|
test-spark-topic|0|428506851|
test-spark-topic|0|428506852|
test-spark-topic|0|428506853|
test-spark-topic|0|428506854|
test-spark-topic|0|428506855|
test-spark-topic|0|428506856|
test-spark-topic|0|428506857|
test-spark-topic|0|428506858|
test-spark-topic|0|428506859|
test-spark-topic|0|428506860|
test-spark-topic|0|428506861|
test-spark-topic|0|428506862|
test-spark-topic|0|428506863|
test-spark-topic|0|428506864|
test-spark-topic|0|428506865|
test-spark-topic|0|428506866|
test-spark-topic|0|428506867|
test-spark-topic|0|428506868|
test-spark-topic|0|428506869|
test-spark-topic|0|428506870|
test-spark-topic|0|428506871|
test-spark-topic|0|428506872|
test-spark-topic|0|428506873|
test-spark-topic|0|428506874|
test-spark-topic|0|428506875|
test-spark-topic|4|341579482|
test-spark-topic|4|341579483|
test-spark-topic|4|341579484|
test-spark-topic|4|341579485|
test-spark-topic|4|341579486|
test-spark-topic|4|341579487|
test-spark-topic|4|341579488|
test-spark-topic|4|341579489|
test-spark-topic|4|341579490|
test-spark-topic|4|341579491|
test-spark-topic|4|341579492|
test-spark-topic|4|341579493|
test-spark-topic|4|341579494|
test-spark-topic|4|341579495|
test-spark-topic|4|341579496|
test-spark-topic|4|341579497|
test-spark-topic|4|341579498|
test-spark-topic|4|341579499|
test-spark-topic|4|341579500|
test-spark-topic|4|341579501|
test-spark-topic|4|341579502|
test-spark-topic|4|341579503|
test-spark-topic|4|341579504|
test-spark-topic|4|341579505|
test-spark-topic|4|341579506|
test-spark-topic|4|341579507|
test-spark-topic|4|341579508|
test-spark-topic|4|341579509|
test-spark-topic|4|341579510|
test-spark-topic|4|341579511|
test-spark-topic|4|341579512|
test-spark-topic|4|341579513|
